tollgate_id,time_window,direction,volume
3,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,86.17647058823529
3,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",1,87.82352941176471
3,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",1,91.47058823529412
3,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",1,77.41176470588235
3,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",1,76.88235294117646
3,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",1,74.05882352941177
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,106.58823529411765
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,107.76470588235294
3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,124.3529411764706
3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,116.70588235294117
3,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,107.23529411764706
3,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,96.88235294117646
3,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",1,86.17647058823529
3,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",1,87.82352941176471
3,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",1,91.47058823529412
3,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",1,77.41176470588235
3,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",1,76.88235294117646
3,"[2016-10-26 18:40:00,2016-10-26 19:00:00)",1,74.05882352941177
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,106.58823529411765
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,107.76470588235294
3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,124.3529411764706
3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,116.70588235294117
3,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,107.23529411764706
3,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,96.88235294117646
3,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",1,86.17647058823529
3,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",1,87.82352941176471
3,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",1,91.47058823529412
3,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",1,77.41176470588235
3,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",1,76.88235294117646
3,"[2016-10-27 18:40:00,2016-10-27 19:00:00)",1,74.05882352941177
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,106.58823529411765
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,107.76470588235294
3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,124.3529411764706
3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,116.70588235294117
3,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,107.23529411764706
3,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,96.88235294117646
3,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",1,86.17647058823529
3,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",1,87.82352941176471
3,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",1,91.47058823529412
3,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",1,77.41176470588235
3,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",1,76.88235294117646
3,"[2016-10-28 18:40:00,2016-10-28 19:00:00)",1,74.05882352941177
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,106.58823529411765
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,107.76470588235294
3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,124.3529411764706
3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,116.70588235294117
3,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,107.23529411764706
3,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,96.88235294117646
3,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",1,86.17647058823529
3,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",1,87.82352941176471
3,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",1,91.47058823529412
3,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",1,77.41176470588235
3,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",1,76.88235294117646
3,"[2016-10-29 18:40:00,2016-10-29 19:00:00)",1,74.05882352941177
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,106.58823529411765
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,107.76470588235294
3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,124.3529411764706
3,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,116.70588235294117
3,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,107.23529411764706
3,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,96.88235294117646
3,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",1,86.17647058823529
3,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",1,87.82352941176471
3,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",1,91.47058823529412
3,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",1,77.41176470588235
3,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",1,76.88235294117646
3,"[2016-10-30 18:40:00,2016-10-30 19:00:00)",1,74.05882352941177
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,106.58823529411765
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,107.76470588235294
3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,124.3529411764706
3,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,116.70588235294117
3,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,107.23529411764706
3,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,96.88235294117646
3,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",1,86.17647058823529
3,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",1,87.82352941176471
3,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",1,91.47058823529412
3,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",1,77.41176470588235
3,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",1,76.88235294117646
3,"[2016-10-31 18:40:00,2016-10-31 19:00:00)",1,74.05882352941177
